code,name
032350,롯데관광개발
032640,LG유플러스
032820,우리기술
032830,삼성생명
033780,KT&G
034020,두산에너빌리티
034220,LG디스플레이
034230,파라다이스
034730,SK
035250,강원랜드
035420,NAVER
035720,카카오
035900,JYP
036460,한국가스공사
036570,엔씨소프트
036930,주성엔지니어링
039030,이오테크닉스
039200,오스코텍
039490,키움증권
041510,에스엠
042660,한화오션
042700,한미반도체
043260,성호전자
047040,대우건설
047050,포스코인터내셔널
047810,한국항공우주
051600,한전KPS
051900,LG생활건강
051910,LG화학
052690,한전기술
055550,신한지주
058470,리노공업
058610,에스피지
060370,이글벳
062040,산일전기
064350,현대로템
064400,LG씨엔에스
064760,티씨케이
066570,LG전자
066575,LG전자우
066970,엘앤에프
067310,하나마이크론
068270,셀트리온
068760,셀트리온제약
069620,대웅제약
069960,현대백화점
071050,한국금융지주
071970,HD현대마린엔진
073240,금호타이어
077970,STX엔진
078600,대주전자재료
078930,GS
079550,LIG넥스원
080220,제주반도체
081660,휠라홀딩스
082640,동양생명
082740,한화엔진
082920,비츠로셀
083650,비에이치아이
084370,유진테크
085620,미래에셋생명
086280,현대글로비스
086520,에코프로
086790,하나금융지주
087010,펩트론
088350,한화생명
088980,맥쿼리인프라
089030,테크윙
089860,롯데렘닉스
089970,브이엠
090430,아모레퍼시픽
093370,후성
095340,ISC
095610,테스
096530,씨젠
096770,SK이노베이션
097230,HJ중공업
097950,CJ제일제당
098460,고영
103140,풍산
103590,일진전기
105560,KB금융
108490,로보티즈
111770,영원무역
112610,씨에스윈드
120110,코오롱인더
127120,디엔에이링크
128940,한미약품
131290,티에스이
131970,두산테스나
138040,메리츠금융
138930,BNK금융지주
139130,DGB금융지주
139480,이마트
140410,메지온
140860,파크시스템스
141080,리가켐바이오
145020,휴젤
161390,한국타이어
161890,한국콜마
166090,하나머티리얼즈
175330,JB금융지주
178320,서진시스템
180640,한진칼
181710,NHN
183300,코미코
192080,더블유게임즈
192820,코스맥스
195940,HK이노엔
196170,알테오젠
204320,HL만도
207940,삼성바이오로직스
214150,클래시스
214370,케어젠
214450,파마리서치
218410,RFHIC
222800,심텍
226950,올릭스
229640,LS에코에너지
237690,에스티팜
240810,원익IPS
241560,두산밥캣
247540,에코프로비엠
251270,넷마블
257720,실리콘투
259960,크래프톤
263750,펄어비스
267250,HD현대
267260,HD현대일렉트릭
267270,HD현대건설기계
271560,오리온
272210,한화시스템
277810,레인보우로보틱스
278470,에이피알
279570,케이뱅크
280360,롯데웰푸드
281820,케이씨텍
282330,BGF리테일
290650,엘앤씨바이오
294870,HDC현대산업
298020,효성티앤씨
298040,효성중공업
298380,에이비엘바이오
300720,한일시멘트
302440,SK바이오사이언스
307950,현대오토에버
310210,보로노이
316140,우리금융지주
319400,현대무벡스
319660,피에스케이
322000,현대에너지솔루션
323280,태성
323410,카카오뱅크
326030,SK바이오팜
329180,HD현대중공업
330590,롯데리츠
336260,두산퓨얼셀
347700,스피어
347850,디앤디파마텍
352820,하이브
353200,대덕전자
357780,솔브레인
361610,SK아이이테크놀로지
373220,LG에너지솔루션
375500,DL이앤씨
377300,카카오페이
383220,F&F
395400,SK리츠
402340,SK스퀘어
403870,HPSP
415640,KB발해인프라
420770,기가비스
437730,삼현
439260,대한조선
440110,파두
443060,HD현대마린
450080,에코프로머티
454910,두산로보틱스
457190,이수스페셜티케미컬
458870,씨어스
462870,시프트업
475150,SK이터닉스
475830,오름테라퓨틱
483650,달바글로벌
489790,한화비전
491000,리브스메드
950160,코오롱티슈진
