date	내용
2018-08-27	반도체 업황 우려 속 저평가 매력 부각에 상승
2018-09-06	美 기술주 부진 여파 등으로 하락
2018-09-07	모건스탠리 반도체 업황 부정적 리포트에 하락
2018-09-12	반도체업황 고점 논란 속 美 반도체株 약세 등으로 하락
2018-09-14	美 헤지펀드, 반도체 업황 긍정적 전망 등으로 상승(주도주 : 삼성전자, SK하이닉스)
2018-09-21	美마이크론 실적 전망치 하향에 일부 관련주 하락
2018-09-27	반도체 가격 둔화 우려 등에 일부 관련주 하락
2018-09-28	반도체 업황 고점 논란 속 4분기 D램 가격 전망치 하향 소식 등으로 하락
2018-10-11	美 기술주 급락 및 반도체 업황 우려 지속 등에 약세
2018-10-17	반도체 해외 판매 호조 속 9월 ICT 수출 역대 최고치 기록 소식 등으로 상승(주도주 : 삼성전자, SK하이닉스)
2018-10-24	클라우드 컴퓨팅 업체 반도체 수요 악화 전망 등에 하락
2018-10-25	美 기술주 급락 등에 하락
2018-10-30	美, 中 반도체 업체 수출 제한에 따른 반사이익 기대감에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2018-11-02	美 기술주 강세 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2018-11-13	아이폰 판매 부진 전망 속 반도체 수요 감소 우려 등에 하락
2018-11-16	中 반독점 당국, 삼성전자 SK하이닉스 마이크론테크놀로지 등에 대한 반독점 조사 중대한 진전 발언 속 하락
2018-11-20	美 반도체주 및 기술주 급락 등에 하락
2018-11-30	글로벌 반도체 시장 역성장 전망 등으로 하락
2018-12-05	반도체 업황 둔화 우려 등에 하락
2018-12-14	반도체 업황 우려에 하락
2018-12-20	美 마이크론 주가 급락 여파 등으로 하락
2019-01-03	반도체 업황 둔화 우려 지속에 하락
2019-01-09	반도체업황 하반기 회복 부각 속 상승(주도주 : 삼성전자, SK하이닉스)
2019-01-14	반도체 경기 둔화 우려 및 SK하이닉스 실적 부진 전망 속 하락
2019-01-22	반도체 수출 둔화 및 1분기 실적 부진 우려 등에 하락
2019-01-24	中 반도체 수요 견고 분석 및 하반기 반도체 수요 회복 전망 등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-01-25	美 반도체주 강세 및 업황 개선 기대감 등에 강세(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2019-02-08	필라델피아 반도체지수 급락 및 차익매물 출회 등으로 하락
2019-02-13	반도체 수요 견조 분석 및 업황 회복 전망 등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-02-15	반도체 업황 우려 현실화 등에 하락
2019-02-28	반도체 D램 가격 급락 등에 하락
2019-03-06	JP모건, 올해 1분기 D램 가격 하락 가속화 전망에 하락
2019-03-12	美 반도체주 강세 속 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2019-03-21	美 마이크론 테크놀로지 감산 소식 등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-04-24	반도체 수요 둔화 우려 지속 전망 등에 하락
2019-04-26	인텔, 올해 반도체시장 부진 전망 등에 하락
2019-05-07	올해 글로벌 반도체시장 역성장 전망 등에 하락
2019-06-13	반도체 업황 부진 전망에 하락
2019-06-19	美/中 무역협상 기대감 속 필라델피아 반도체지수 급등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-06-26	美 마이크론 실적 발표 및 감산 계획 등에 상승(주도주 : SK하이닉스)
2019-06-27	반도체 3분기 이익사이클 상승 전환 전망 등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-07-02	日 규제 영향 제한적 분석에 상승(주도주 : DB하이텍, SK하이닉스)
2019-07-03	日 반도체 소재 수출 규제 우려 등에 하락
2019-07-05	삼성전자 2분기 반도체 실적 부진 속 하락
2019-07-08	이재용 삼성전자 부회장 日 방문 속 일본의 수출 규제 여파 지속에 약세
2019-07-10	삼성전자·SK하이닉스 낸드플래시 감산 검토 소식에 상승(주도주 : SK하이닉스, DB하이텍)
2019-07-11	삼성전자·SK하이닉스 낸드플래시 감산 검토 모멘텀 지속 등에 상승 (주도주 : 삼성전자, SK하이닉스)
2019-07-15	삼성전자·SK하이닉스, 국산 불화수소 생산 라인 첫 투입 소식 등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-07-22	D램 현물 가격 상승 등에 상승(주도주 : SK하이닉스)
2019-07-24	2분기 글로벌 실리콘 웨이퍼 출하량 감소 속 하락
2019-07-31	7월 D램 고정가격 급락 등에 하락
2019-08-30	D램 가격 하락 중단 소식에 상승(주도주 : 삼성전자, SK하이닉스)
2019-09-05	글로벌 데이터센터 수요 개선 가시화 전망 등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-09-18	D램 수출 가격 반등 속 반도체 업황 회복 기대감 등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-09-19	반도체 업황 회복 전망에 상승(주도주 : 삼성전자, SK하이닉스)
2019-09-27	마이크론, 예상에 못미치는 1분기 실적 가이던스 발표에 하락
2019-10-08	삼성전자 3분기 어닝서프라이즈 등으로 상승(주도주 : 삼성전자, DB하이텍)
2019-10-25	美 반도체 기업 실적 호조 등에 상승(주도주 : SK하이닉스)
2019-10-28	인텔 호실적 발표 속 일부 관련주 상승(주도주 : 삼성전자)
2019-11-04	반도체 수출·생산량 호조 소식에 상승(주도주 : 삼성전자, SK하이닉스)
2019-11-11	반도체 수출 부진 지속 등에 하락
2019-11-12	반도체 업황 회복 본격화 전망 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2019-11-15	삼성전자, SK하이닉스 3분기 반도체 재고 감소 소식 등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-11-26	반도체 업황 개선 기대감 및 필라델피아 반도체지수 급등 등에 상승(주도주 : SK하이닉스, DB하이텍)
2019-12-04	美中 무역협상 지연 우려 등에 美 필라델피아반도체 지수 약세 속 하락
2019-12-05	美 필라델피아 반도체지수 상승 속 상승(주도주 : DB하이텍, SK하이닉스)
2019-12-06	내년 반도체 매출 반등 기대감 등으로 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2019-12-09	4분기 DRAM 수요 개선세 지속 분석에 상승(주도주 : 삼성전자)
2019-12-12	필라델피아반도체 지수 급등 속 내년 중반 반도체 수출 회복 전망에 상승(주도주 : 삼성전자, SK하이닉스)
2019-12-13	美/中 무역합의 기대감 속 반도체 업황 개선 기대감 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2019-12-16	반도체 업황 회복 기대감 지속 등에 상승(주도주 : DB하이텍)
2019-12-17	NAND 장비투자 확대 수혜 기대감 및 필라델피아 반도체지수 최고치 경신 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2019-12-18	D램 현물 가격 상승 및 반도체 업황 회복 기대감 지속 등으로 상승(주도주 : DB하이텍)
2019-12-26	글로벌 반도체 수요 개선 전망 등에 상승(주도주 : 삼성전자, SK하이닉스)
2019-12-27	향후 긍정적 실적 전망 및 美 기술주 강세 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2020-01-08	반도체 업황 회복 전망 및 삼성전자 4분기 실적 선방 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2020-01-16	삼성전자 반도체 설비투자 가시화 속 업황 회복 기대감 지속 등에 상승(주도주 : 삼성전자, DB하이텍, SK하이닉스)
2020-01-20	정부, 차세대 지능형 반도체 투자 소식에 상승(주도주 : DB하이텍, 삼성전자)
2020-01-22	올해 삼성전자·SK하이닉스 실적 개선 전망 및 반도체 수출 증가 소식 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2020-01-23	차익실현 매물 등에 하락
2020-01-30	삼성전자 1분기 실적 부진 전망에 하락
2020-02-03	1월 D램/NAND 가격 반등 소식에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2020-02-10	필라델피아 반도체지수 급락에 하락
2020-02-12	필라델피아 반도체 지수 급등 등에 상승(주도주 : DB하이텍)
2020-02-13	필라델피아 반도체 지수 사상 최고치(종가기준) 등에 상승(주도주 : DB하이텍, SK하이닉스)
2020-02-14	반도체 업황 기대감 및 엔비디아 실적 서프라이즈 등에 상승(주도주 : SK하이닉스, 삼성전자)
2020-02-24	필라델피아 반도체 지수 급락 및 반도체 업황 우려 등에 하락
2020-02-26	필라델피아 반도체 지수 폭락 등에 하락
2020-02-27	코로나19 확산에 따른 수요 둔화 우려 지속 등으로 하락
2020-03-02	반도체 업황 개선 기대감 및 필라델피아 반도체지수 반등 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2020-03-05	코로나19, 반도체 수요에 미치는 영향 미미할 것이란 분석에 상승(주도주 : 삼성전자, SK하이닉스)
2020-03-16	코로나19 여파 등에 따른 반도체업황 부진 전망 등에 하락
2020-03-19	코로나19 공포 속 필라델피아 반도체지수 폭락 및 실적 우려감 등에 급락
2020-03-20	필라델피아 반도체 지수 강세 등에 급등(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2020-03-23	코로나19 여파에 따른 반도체 업황 우려 부각 등에 하락
2020-03-24	필라델피아 반도체 지수 급등 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2020-03-25	필라델피아 반도체 지수 폭등 등에 강세(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2020-04-07	삼성전자 1분기 양호한 실적 및 필라델피아반도체 지수 폭등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2020-04-09	필라델피아 반도체 지수 급등에 상승(주도주 : DB하이텍, 삼성전자)
2020-04-13	반도체 수출 감소 등에 하락
2020-04-17	TSMC 1분기 양호한 실적 및 하반기 모바일 수요 회복 기대감 등에 상승(주도주 : 삼성전자, SK하이닉스)
2020-04-21	4월 1~20일, 반도체 수출 14.9% 감소 소식 등에 일부 관련주 하락
2020-04-24	美 인텔 2분기 실적 부진 전망 등에 하락
2020-05-04	4월 반도체 수출 부진 및 필라델피아반도체 지수 급락 등에 하락
2020-05-06	전력/화합물 반도체 장비 투자규모 역대 최대 기대감 및 필라델피아 반도체지수 상승 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2020-05-14	4월 반도체 수출 부진 등에 하락
2020-05-20	밸류에이션 매력 부각 등으로 상승(주도주 : SK하이닉스, DB하이텍)
2020-06-01	삼성전자, 평택 낸드플래시 생산라인 투자 소식 등에 상승(주도주 : DB하이텍, SK하이닉스)
2020-06-03	필라델피아 반도체지수 상승 및 1분기 글로벌 반도체 장비 매출액 호조 등에 상승(주도주 : SK하이닉스, 삼성전자)
2020-06-12	美 반도체 관련주 폭락 및 반도체 경기 회복 지연 분석 등에 하락
2020-06-16	수요 증가에 따른 반도체 Capa 증설 지속 전망 등에 상승(주도주 : 삼성전자, SK하이닉스)
2020-06-30	美 마이크론테크놀로지 호실적 발표 등에 상승(주도주 : SK하이닉스)
2020-07-06	삼성전자 2분기 실적 선방 기대감 및 한국 1분기 SSD 수출 1위 소식 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2020-07-27	인텔 7나노 공정 도입 지연에 따른 수혜 기대감 등에 상승(주도주 : DB하이텍, 삼성전자)
2020-07-28	美 필라델피아반도체 지수 급등 및 인텔 차세대 칩 위탁생산 기대감 지속 등에 상승(주도주 : DB하이텍, 삼성전자)
2020-07-30	삼성전자의 평택 반도체 공장 추가 착공 계획 소식 및 지난밤 필라델피아 반도체지수 급등 등에 상승(주도주 : SK하이닉스, DB하이텍)
2020-07-31	7월 D램 고정거래가격 하락에 따른 실적 우려 등으로 하락
2020-08-13	필라델피아 반도체 지수 급등 속 일부 관련주 상승(주도주 : DB하이텍)
2020-08-20	글로벌 반도체 설비투자 규모 감소 전망 및 美, 화웨이 제제 타격 우려 등에 하락
2020-08-21	8월1~20일 반도체 수출 증가 및 반발 매수세 유입 등에 상승(주도주 : 삼성전자, SK하이닉스)
2020-08-31	서버 D램 계약가격 약세 소식에 하락
2020-09-01	8월 반도체 수출 증가 소식에 상승(주도주 : 삼성전자, SK하이닉스)
2020-09-03	美 필라델피아반도체 지수 급등 및 삼성전자, 엔비디아 차세대 GPU 생산 소식 등에 상승(주도주 : 삼성전자, SK하이닉스)
2020-09-04	美 필라델피아 반도체지수 폭락 등에 하락
2020-09-10	삼성전자 3분기 호실적 전망 및 필라델피아 반도체지수 급등 등에 상승(주도주 : 삼성전자)
2020-09-11	9월 1~10일 수출, 반도체 43.2% 급증 속 상승(주도주 : SK하이닉스, DB하이텍)
2020-09-16	美 화웨이 제재에 따른 중장기 매출 타격 우려 등에 하락
2020-09-17	4분기 서버용 D램 가격 하락 전망 등에 하락
2020-09-28	美, 中 SMIC 제재에 따른 반사이익 기대감에 상승(주도주 : 삼성전자, DB하이텍)
2020-10-12	10월1~10일 반도체 수출 증가 소식 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2020-11-13	삼성전자 사상 최고가 경신 속 상승(주도주 : 삼성전자)
2020-11-16	반도체 업황 회복 기대감 및 삼성전자 신고가 경신 등에 강세(주도주 : 삼성전자, SK하이닉스)
2020-11-23	11월 1~20일 반도체 수출 증가 및 내년 반도체 업황 개선 전망 등에 상승(주도주 : 삼성전자, SK하이닉스)
2020-12-01	11월 반도체 수출 호조 및 D램 반도체 시장 안정적 흐름 소식 등에 상승(주도주 : 삼성전자, SK하이닉스)
2020-12-02	美 마이크론 테크놀로지 실적 가이던스 상향 조정 및 반도체 업황 개선 전망 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2020-12-04	美 마이크론 대만 공장 정전 소식 속 반사이익 기대감 및 반도체 업황 회복 기대감 지속 등에 상승(주도주 : 삼성전자, SK하이닉스)
2020-12-07	필라델피에 반도체지수 상승 및 반도체 업황 개선 기대감 지속 등에 상승(주도주 : SK하이닉스, 삼성전자)
2020-12-17	DRAM 현물가격 급등 등에 상승(주도주 : SK하이닉스, DB하이텍)
2020-12-23	KOTRA, 2021년 반도체 슈퍼사이클 전망 속 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2020-12-24	인텔, CPU 파운드리 추진 소식에 상승(주도주 : 삼성전자, DB하이텍)
2020-12-30	11월 반도체 생산 호조 및 글로벌 파운드리 시장 성장 전망 등에 강세(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-01-04	올해 테크 주식 성장 동력 주목 분석, 반도체 가격 상승 기대감 등에 상승(주도주 : SK하이닉스, 삼성전자)
2021-01-18	반도체 공급 부족 속 단가 인상 기대감 등에 상승(주도주 : DB하이텍)
2021-01-20	美 필라델피아반도체 지수 급등에 상승(주도주 : DB하이텍)
2021-01-21	1월1~20일 반도체 수출 호조 소식 등에 상승(주도주 : 삼성전자, DB하이텍)
2021-01-25	삼성-테슬라 차량용 반도체 개발 협업 소식 및 美 반도체 공장 신/증설 검토 소식 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-02-01	1월 반도체 수출 호조 소식 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2021-02-02	美 필라델피아 반도체지수 급등 및 시스템반도체 기술혁신 지원 소식 등에 상승(주도주 : SK하이닉스, 삼성전자)
2021-02-04	美 필라델피아반도체 지수 급락 등에 하락
2021-02-09	美 필라델피아반도체 지수 급등 및 업황 개선 기대감 등에 일부 관련주 상승(주도주 : SK하이닉스, DB하이텍)
2021-02-10	1월 ICT 수출 호조 등에 상승(주도주 : DB하이텍, SK하이닉스)
2021-02-15	반도체 2월 1~10일 수출 호조 소식 및 차량용 반도체 공급 부족 현상 지속 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2021-02-16	실적 개선 국면 진입 분석 등에 상승(주도주 : DB하이텍)
2021-02-19	D램 가격 상승 전망 및 NAND 턴어라운드 시그널, 지난밤 美 마이크론 주가 상승 등에 상승(주도주 : SK하이닉스)
2021-02-25	필라델피아 반도체지수 급등 및 정부, 시스템반도체 육성 지원 소식 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-02-26	필라델피아 반도체지수 폭락에 하락
2021-03-02	필라델피아 반도체지수 급등 및 DRAM 가격 강세 전망 등에 상승(주도주 : SK하이닉스, 삼성전자)
2021-03-04	필라델피아 반도체지수 급락 등에 하락
2021-03-05	필라델피아 반도체지수 연일 급락에 하락
2021-03-11	삼성전자 대규모 투자 지속 전망 및 반도체 수출 호조 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-03-12	필라델피아 반도체지수 급등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-03-16	반도체 Super Cycle 지속 전망 및 필라델피아 반도체지수 급등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-03-18	올해 메모리 반도체 가격 상승 전망 등에 상승(주도주 : SK하이닉스)
2021-03-19	지난밤 美 국채금리 상승 영향 등에 美 증시가 하락했고, 필라델피아 반도체지수 4% 넘게 폭락 등에 하락
2021-04-01	美 마이크론 실적 호조 및 바이든 대통령 반도체 지원 계획 발표, TSMC 공장 화재 경보 소식 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-04-02	3월 반도체 수출 호조 및 백악관, 반도체 공급난 논의 위해 삼성전자 초청 소식 등에 상승(주도주 : 삼성전자)
2021-04-05	반도체 슈퍼 사이클 기대감 부각 등에 상승(주도주 : 삼성전자, SK하이닉스)
2021-04-19	한국판 '반도체지원특별법' 제정 추진 소식 및 美 반도체 투자 증가 기대감 등에 상승(주도주 : SK하이닉스, DB하이텍)
2021-04-21	필라델피아 반도체지수 약세 속 하락
2021-05-11	필라델피아 반도체지수 폭락 영향 등에 하락
2021-05-12	인플레이션 우려에 따른 최근 기술주 부진, 금일 대만 증시 폭락 영향 등에 하락
2021-05-13	필라델피아 반도체지수 급락 등에 하락
2021-05-14	필라델피아 반도체지수 반등 및 K-반도체 기업 투자 510조 투자 유인 소식에 상승(주도주 : 삼성전자)
2021-05-21	내년 메모리 반도체 사상 최대 매출 경신 전망 등에 상승(주도주 : 삼성전자, DB하이텍)
2021-06-03	필라델피아 반도체지수 상승 및 올해 1분기 국내 반도체 장비 매출 급증 소식에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-06-21	세인트루이스 연은 총재, 내년 금리 인상 발언 속 필라델피아반도체 지수 약세 등에 하락
2021-06-24	메모리반도체 가격 상승 및 글로벌 반도체 투자 확대 전망, 美 나스닥지수 연일 사상 최고치 경신 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2021-07-15	상반기 반도체 수출 호조 및 내년 반도체 장비 매출 사상 최대 전망 등에 상승(주도주 : 삼성전자, DB하이텍)
2021-07-16	필라델피아 반도체지수 급락 및 인텔, 글로벌 파운드리 3위 업체 인수 추진에 따른 삼성전자 부담 우려 속 하락
2021-07-19	삼성전자, 대미 반도체 투자 지연 우려 및 필라델피아 반도체지수 급락 등에 하락
2021-07-22	필라델피아 반도체지수 급등 및 DDR5 전환 임박 분석 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-08-02	7월 반도체 수출 역대 최고치 기록 소식 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-08-03	Peak Out 우려 해소에 따른 반도체 주가 상승 반전 전망 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-08-11	필라델피아 반도체지수 하락 및 4분기 D램 가격 하락 우려 등에 하락
2021-08-12	반도체 업황 불확실성 지속 등에 하락
2021-08-13	반도체 업황 우려 지속 및 필라델피아 반도체지수 약세 여파 등에 하락
2021-08-18	주가 하락 과도 분석 속 향후 업황 정상화 기대감 등에 일부 관련주 상승(주도주 : SK하이닉스)
2021-08-24	필라델피아 반도체지수 급등 및 삼성, 반도체 등 240조 투자 계획 발표 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-09-29	필라델피아 반도체지수 급락 및 美 마이크론 실적 가이던스 하향 여파 등에 하락
2021-10-12	반도체 업황 불확실성 지속 등에 하락
2021-10-15	TSMC 3분기 실적 호조 및 4분기 실적 가이던스 시장 예상치 상회 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-10-26	SK하이닉스 3분기 호실적 발표 및 DDR5 모멘텀 기대감 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-10-28	삼성전자, 3분기 역대 최고 실적 달성 및 파운드리 투자 계획, 인텔 DDR5 지원 CPU 출시 소식 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-11-02	美 필라델피아 반도체지수 상승 및 10월 한국 반도체 수출 호조 등에 상승(주도주 : 삼성전자, DB하이텍)
2021-11-12	필라델피아 반도체지수 강세 및 반도체 수출 호조 지속 등에 상승(주도주 : 삼성전자, DB하이텍)
2021-11-15	이재용 삼성전자 부회장, 美 반도체 투자 결정 기대감 및 반도체 수출 호조 소식 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2021-11-19	엔비디아 호실적 및 필라델피아 반도체지수 강세 등에 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2021-11-22	반도체 업황 회복 기대감 및 삼성전자, 美 반도체 2공장 투자 기대감 등에 강세(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2021-11-24	필라델피아 반도체 지수 하락 및 차익 실현 매물 출회 등에 하락
2021-12-01	전방업체들의 D램 재고 감소 수혜 및 반도체 특별법 상임위 소위 통과 소식 등에 상승(주도주 : 삼성전자, SK하이닉스)
2021-12-02	11월 반도체 수출 호조 모멘텀 지속 및 반도체 시장 성장세 지속 전망 등에 상승(주도주 : SK하이닉스, 삼성전자)
2021-12-06	DRAM 현물가 반등에 따른 반도체 비중 확대 유효 분석 등에 상승(주도주 : 삼성전자, SK하이닉스)
