date	내용
2024-01-09	엔비디아 사상 최고치 기록 속 美 필라델피아 반도체 지수 급등 등에 상승(주도주 : 레이저쎌, 디아이티, 케이씨텍, 아이엠티)
2024-01-15	차세대 AI 메모리 제품 기대감 및 정부, '반도체 메가 클러스터' 조성 기대감 등에 일부 관련주 상승(주도주 : 오픈엣지테크놀로지, 미래반도체, 삼성전자, 워트)
2024-01-19	TSMC 호실적 영향 지속 속 반도체 업황 회복 기대감 등에 상승(주도주 : 이오테크닉스, 큐알티, 디아이티, 레이저쎌)
2024-01-22	美 필라델피아 반도체 지수 급등 및 오픈AI 샘 올트먼 CEO, AI 반도체 개발 추진 소식 등에 상승(주도주 : 제우스, 워트, 큐알티, 피에스케이홀딩스, 이오테크닉스)
2024-01-24	국가전략기술에 HBM 추가 소식 및 SK하이닉스, HBM 공정에 국산장비 투입 기대감 등에 일부 관련주 상승(주도주 : 오로스테크놀로지, 제너셈, 디아이티, 에스티아이)
2024-01-25	SK하이닉스 4분기 어닝서프라이즈 및 HBM 중장기 수요 연평균 60% 성장 전망, ASML 호실적 발표 등에 일부 관련주 상승(주도주 : 아이엠티, 엠케이전자, 레이저쎌)
2024-01-31	필라델피아 반도체지수 하락 및 AMD 1분기 실적 가이던스 실망감 등에 하락
2024-02-01	삼성전자, 평택 5공장 건설 일부 작업중단 소식 속 하락
2024-02-02	美 필라델피아 반도체지수 상승 및 반도체 수출 급증 소식, SK하이닉스 美 인디애나주에 반도체 패키징 공장 건설 검토 소식 등에 상승(주도주 : 워트, 제우스, 큐알티, 오로스테크놀로지)
2024-02-05	하반기 반도체 업황 재둔화 우려 등에 하락
2024-02-06	골드만삭스, 엔비디아 목표가 상향 및 美 필라델피아 반도체 지수 상승 등에 상승(주도주 : 워트, 케이씨텍, 피에스케이홀딩스, 오픈엣지테크놀로지, 이오테크닉스)
2024-02-08	엔비디아 사상 최고치 경신 및 ARM 예상치 웃돈 실적 가이던스 제시, SK하이닉스-TSMC AI 반도체 동맹 구축 소식 등에 상승(주도주 : 한미반도체, 큐알티, 디아이티, 오픈엣지테크놀로지, 아이엠티)
2024-02-13	AI 반도체 열풍 지속 및 샘 올트먼 오픈AI CEO, 최대 9,300조원 규모 투자 유치 추진 소식 등에 상승(주도주 : 오픈엣지테크놀로지, 에스티아이)
2024-02-14	반도체 경기 반등 전망 및 삼성전자 2나노 수주 기대감 등에 상승(주도주 : 제너셈, 오픈엣지테크놀로지, 케이씨텍, 오로스테크놀로지)
2024-02-20	메모리 전공정 장비 증설 사이클 재개 기대감 등에 일부 관련주 상승(주도주 : 오로스테크놀로지, 큐알티, 윈팩, 피에스케이홀딩스, 에스티아이)
2024-02-21	삼성전자, 차세대 범용 인공지능(AGI) 반도체 개발 착수 소식 및 저커버그, 이재용 회장 회동 조율 소식 등에 일부 관련주 상승(주도주 : 오픈엣지테크놀로지, 예스티, 워트, 제우스)
2024-02-22	엔비디아 어닝 서프라이즈 등에 상승(주도주 : 피에스케이홀딩스, 제우스, 아이엠티, 오픈엣지테크놀로지, 에스티아이)
2024-02-26	반도체기업 투자촉진 위해 인센티브 확대 기대감 등에 일부 관련주 상승(주도주 : 큐알티, 케이씨텍, 한미반도체, 이오테크닉스)
2024-02-27	마이크론, 엔비디아 AI 반도체용 HBM3E 본격 양산 및 삼성전자 업계 최초 36GB HBM3E 12단 D램 개발 소식 등에 상승(주도주 : 큐알티, 예스티, 아이엠티, 케이씨텍)
2024-02-28	정부, 국가전략기술 사업화시설 범위 확대 및 세액공제 혜택 제공 소식 등에 상승(주도주 : 이오테크닉스, 한미반도체, 피에스케이홀딩스, 디아이티)
2024-03-04	AI 훈풍 지속 속 델(DELL) 주가 폭등 등에 상승(주도주 : 한미반도체, 케이씨텍, 아이엠티, 제너셈, 와이씨켐)
2024-03-08	엔비디아 연일 사상 최고치 경신 속 필라델피아 반도체지수(+3.36%) 급등 등에 상승(주도주 : 케이씨텍, 예스티, SK하이닉스, 에스티아이, 큐알티)
2024-03-11	엔비디아(-5.55%) 급락 속 필라델피아 반도체 지수 급락 영향 등에 하락
2024-03-12	업황 회복 기대감 지속 등에 상승(주도주 : 큐알티, 예스티, 엠케이전자, 제우스)
2024-03-14	美 필라델피아 반도체 지수 급락 등에 하락
2024-03-15	엔비디아 GTC 개최 예정 속 반도체 업종 상승 촉매 역할 전망 등에 일부 관련주 상승(주도주 : 디아이티, 오픈엣지테크놀로지, 피에스케이홀딩스, 예스티)
2024-03-18	엔비디아, GTC 2024서 신기술 공개 기대감 지속 및 씨티그룹의 마이크론테크놀로지 목표가 150달러로 상향 소식 등에 상승(주도주 : 큐알티, 오로스테크놀로지, 와이씨켐, 오픈엣지테크놀로지)
2024-03-19	엔비디아 차세대 인공지능 칩 ‘블랙웰(B200)’ 공개 및 엔비디아 시간외 주가 하락 속 차익실현 매물 등에 하락
2024-03-20	젠슨 황 엔비디아 CEO, 삼성전자 HBM 테스트 언급 소식 등에 상승(주도주 : 피에스케이홀딩스, 워트, 제우스, 이오테크닉스, 삼성전자)
2024-03-21	美 마이크론 어닝 서프라이즈 및 젠슨 황 엔비디아 CEO, 삼성전자 HBM 테스트 언급 모멘텀 지속 등에 상승(주도주 : 케이씨텍, SK하이닉스, 아이엠티, 엠케이전자)
2024-03-26	美/中 반도체 신경전 속 반사 수혜 기대감 및 마이크론 훈풍 지속 등에 상승(주도주 : 한미반도체, SK하이닉스, 피에스케이홀딩스, 아이엠티)
2024-03-27	글로벌 기업, AI 투자 규모 확대에 따른 수혜 전망 및 반도체 수출물량 11년 8개월 만에 최대 소식 등에 상승(주도주 : 와이씨켐, 예스티, 오로스테크놀로지)
2024-03-28	삼성전자, 실적 턴어라운드 전망 및 필라델피아 반도체지수 강세 등에 상승(주도주 : 윈팩, 한미반도체, 와이씨켐, 디아이티)
2024-03-29	글로벌 AI 시장 확대에 따른 AI 반도체 성장 전망 등에 일부 관련주 상승(주도주 : 이오테크닉스, 케이씨텍, 워트)
2024-04-01	반도체 수출 호조 및 삼성전자·SK하이닉스 호실적 기대감 지속 등에 상승(주도주 : 윈팩, 한미반도체, 디아이티, 큐알티)
2024-04-02	마이크론 훈풍 지속 및 삼성전자, SSD 수요 증가에 따른 가격 인상 소식 등에 상승(주도주 : 윈팩, 삼성전자, 와이씨켐)
2024-04-03	美 금리인하 기대감 후퇴 속 필라델피아 반도체지수 약세 등에 하락
2024-04-04	반도체 업황 회복 기대감 지속 및 대만 지진 반사이익 기대감 등에 상승(주도주 : 와이씨켐, 이오테크닉스, 피에스케이홀딩스, 아이엠티, 에스티아이)
2024-04-05	필라델피아 반도체 지수 급락 영향 등에 하락
2024-04-11	반도체 수출 호조 소식 등에 상승(주도주 : 한미반도체, 오로스테크놀로지, 피에스케이홀딩스, 레이저쎌)
2024-04-12	엔비디아 등 美 반도체 관련주 상승 영향 등에 상승(주도주 : 오픈엣지테크놀로지, 아이엠티, 예스티, 이오테크닉스)
2024-04-16	美 국채 금리 급등 속 美 주요 기술주 약세 등에 하락
2024-04-17	美 필라델피아 반도체 지수 반등 등에 상승(주도주 : 디아이티, 와이씨켐, 디아이, 에스티아이)
2024-04-18	TSMC 1분기 호실적 발표 등에 상승(주도주 : 디아이티, 큐알티, 디아이, 에스티아이, 피에스케이홀딩스)
2024-04-19	TSMC, 메모리 제외 올해 반도체 시장 성장률 전망 하향 수정 소식 등에 하락
2024-04-22	美 필라델피아 반도체 지수 급락 등에 하락
2024-04-24	엔비디아, 시총 2조달러 재돌파 및 삼성전자, 美 AMD에 4조원대 HBM 물량 공급 소식 등에 상승(주도주 : 피에스케이홀딩스, 아이엠티, 한미반도체, 이오테크닉스)
2024-04-25	SK하이닉스, 1분기 어닝 서프라이즈 및 총 20조원 규모 HBM 투자 발표 소식 등에 일부 관련주 상승(주도주 : 디아이티, 에스티아이, 예스티)
2024-04-26	필라델피아 반도체지수 강세 및 반도체 업황 회복 기대감 지속 등에 상승(주도주 : 케이씨텍, 피에스케이홀딩스, 이오테크닉스, 디아이티)
2024-04-29	美 필라델피아 반도체 지수 급등 등에 상승(주도주 : 와이씨켐, 레이저쎌, 디아이, 오로스테크놀로지, 예스티)
2024-05-03	美 필라델피아 반도체지수 급등 및 4월 D램 가격 급등 소식 등에 일부 관련주 상승(주도주 : 큐알티, 레이저쎌, 디아이)
2024-05-07	美 필라델피아 반도체 지수 급등 및 HBM 가격 상승 전망 등에 상승(주도주 : 피에스케이홀딩스, 이오테크닉스, 한미반도체, 삼성전자)
2024-05-10	ARM 실적 가이던스 실망감 속 필라델피아 반도체지수 하락 영향 등에 하락
2024-05-16	美 CPI 둔화 속 Fed 올해 금리 인하 기대감 부각, 美 필라델피아 반도체지수 급등 등에 상승(주도주 : 디아이티, 피에스케이홀딩스, 오로스테크놀로지, 제너셈, 디아이)
2024-05-21	美 필라델피아 반도체 지수 급등 및 반도체 수출 호조 지속 등에 일부 관련주 상승(주도주 : 예스티, 아이엠티, 디아이, 케이씨텍)
2024-05-23	엔비디아 호실적 및 정부, 26조원 규모 반도체산업 지원 정책 발표 등에 상승(주도주 : 아이엠티, 레이저쎌, 와이씨켐, 윈팩)
2024-05-24	삼성전자, 엔비디아 HBM 테스트 실패 소식 등에 하락
2024-05-27	엔비디아發 훈풍 지속 등에 상승(주도주 : 윈팩, 와이씨켐, 이오테크닉스, 디아이티, 한미반도체)
2024-05-28	AMD, 3nm GAAFET 트렌지스터 구조 채택 언급에 따른 삼성전자 수주 기대감 등에 상승(주도주 : 한미반도체, 큐알티)
2024-05-29	엔비디아發 훈풍 지속 등에 일부 관련주 상승(주도주 : 워트, 레이저쎌, 한미반도체, 아이엠티)
2024-06-04	필라델피아 반도체지수 상승 및 엔비디아 새 AI 칩 발표 소식 등에 일부 관련주 상승(주도주 : 윈팩, 디아이)
2024-06-05	젠슨 황 "삼성전자 HBM, 엔비디아 제품에 탑재될 것" 발언 등에 상승(주도주 : 피에스케이홀딩스, 케이씨텍, 디아이, 제우스)
2024-06-07	엔비디아 훈풍 지속 및 SK그룹, TSMC와 AI 반도체 협력 강화 소식 등에 상승(주도주 : 디아이티, 케이씨텍, 피에스케이홀딩스, SK하이닉스)
2024-06-12	美, 中 대상 GAA·HBM 등 추가 규제 검토 소식 등에 상승(주도주 : 디아이티, 와이씨켐, 예스티, 한미반도체)
2024-06-13	美 필라델피아 반도체 지수 급등 및 SK하이닉스, 6년 만에 최대 실적 달성 전망 등에 상승(주도주 : 예스티, 오로스테크놀로지, 아이엠티, 한미반도체, 디아이)
2024-06-14	美 필라델피아 지수 강세 속 일부 관련주 상승(주도주 : 이오테크닉스, 피에스케이홀딩스, 워트, 케이씨텍)
2024-06-18	美 필라델피아 반도체 지수 강세 및 반도체 슈퍼사이클 도래 진단 소식 등에 상승(주도주 : 윈팩, 에스티아이, 디아이티, 디아이)
2024-06-19	필라델피아 반도체지수 상승 및 엔비디아 시가총액 1위 등극 등에 상승(주도주 : 윈팩, 디아이, 에스티아이, 오픈엣지테크놀로지)
2024-06-21	필라델피아 반도체지수 하락 및 엔비디아 약세 등에 하락
2024-06-24	필라델피아 반도체지수 하락 및 엔비디아 약세 지속 등에 하락
2024-06-25	엔비디아(-6.68%) 3거래일 연속 하락, 필라델피아 반도체지수 급락(-3.02%) 등에 일부 관련주 하락
2024-06-26	엔비디아 급반등에 따른 시총 3조 달러 회복 등에 상승(주도주 : 디아이티, 워트, 디아이, SK하이닉스, 아이엠티)
2024-06-27	美 마이크론 실적 전망치 부합에도 시간외거래서 급락 등에 하락
2024-06-28	삼성전자, 메모리 제조라인에 최대 생산, 설비 가동률 상승 등 주문 소식에 일부 관련주 상승(주도주 : 윈팩, 워트, 예스티, 와이씨켐)
2024-07-01	6월 반도체 수출 규모 역대 최대치 경신 소식 등에 일부 관련주 상승(주도주 : 윈팩, 큐알티, 오픈엣지테크놀로지, 엠케이전자)
2024-07-03	엔비디아, 프랑스서 반독점 혐의 기소 전망에 따른 주가 하락 등에 하락
2024-07-04	삼성전자 엔비디아 HBM3E 퀄테스트 통과 임박 소식 및 호실적 기대감, 美 필라델피아 반도체 지수 강세 등에 상승 (주도주 : 오로스테크놀로지, 이오테크닉스, 디아이, 고영)
2024-07-09	반도체 업황 호조 지속 등에 상승(주도주 : 케이씨텍, 피에스케이홀딩스, 워트, 큐알티, 와이씨켐)
2024-07-11	필라델피아 반도체지수 급등 및 TSMC 2분기 어닝서프라이즈 등에 일부 관련주 상승(주도주 : 케이씨텍, 오로스테크놀로지, 예스티)
2024-07-12	美 인플레 둔화 속 차익실현 매물 출회 영향으로 美 주요 기술주 하락 등에 하락
2024-07-17	트럼프, IRA·반도체지원법 비판 소식 등에 하락
2024-07-18	美 반도체 규제 강화 전망 등에 하락
2024-07-22	美 필라델피아 반도체 지수 급락 및 모건스탠리, 9월 Fed 금리 인하 전 AI(인공지능) 관련 기술주 비중 축소 권고 소식 등에 하락
2024-07-23	美 필라델피아 반도체 지수 급등 속 일부 관련주 상승(주도주 : 엠케이전자, 오픈엣지테크놀로지, 고영, 큐알티)
2024-07-25	AI 수익성 우려에 따른 美 빅테크 주가 급락 등에 하락
2024-07-29	美 필라델피아 반도체 지수 강세 등에 상승(주도주 : 와이씨, 디아이, 와이씨켐, 워트)
2024-07-30	애플, 엔비디아가 아닌 구글 설계 프로세서 사용 소식 등에 하락
2024-07-31	삼성전자 반도체 부문 어닝 서프라이즈 및 AMD 2분기 호실적 등에 상승(주도주 : 와이씨, 디아이, 제우스, 이오테크닉스, 미래반도체)
2024-08-01	美 삼성‧SK하이닉스 HBM 中 납품 금지 검토 소식 속 하락
2024-08-02	美 경기 침체 우려에 따른 美 기술주 급락 등에 하락
2024-08-05	美 경기 침체 우려 지속 속 美 필라델피아 반도체 지수 급락 및 엔비디아 차세대 칩 출시 연기 소식 등에 하락
2024-08-06	전일 국내 증시 폭락에 따른 반발 매수세 유입 등에 상승(주도주 : 이오테크닉스, 오픈엣지테크놀로지, 디아이, 큐알티, 고영)
2024-08-07	삼성전자, HBM3E(8단) 엔비디아 퀄테스트 통과 보도 및 美 필라델피아 반도체지수 반등 등에 상승(주도주 : 워트, 와이씨, 제우스, 케이씨텍)
2024-08-08	필라델피아 반도체지수(-3.09%) 및 엔비디아(-5.12%), 슈퍼마이크로컴퓨터(-20.14%) 주가 급락 영향 등에 하락
2024-08-09	엔비디아 등 美 반도체 관련주 급등에 따른 AI 기대감 재부각 등에 상승(주도주 : 미래반도체, 아이엠티, SK하이닉스, 오로스테크놀로지)
2024-08-12	8월1~10일 수출 호조 소식 등에 상승(주도주 : 미래반도체, 윈팩, 피에스케이홀딩스, 한미반도체, 에스티아이)
2024-08-13	HBM3E 공급부족 심화에 따른 SK하이닉스·삼성전자 수혜 전망 등에 일부 관련주 상승(주도주 : 아이엠티, SK하이닉스, 제우스, 피에스케이홀딩스, 이오테크닉스)
2024-08-14	美 필라델피아 반도체 지수 급등 영향 등에 상승(주도주 : 미래반도체, 피에스케이홀딩스, 에스티아이, 제우스, 와이씨)
2024-08-16	美 필라델피아 반도체 지수 급등(+4.87%) 영향 등에 상승(주도주 : 테크윙, 에스티아이, 케이씨텍, 한미반도체, 이오테크닉스)
2024-08-20	엔비디아 美 시총 2위 탈환 속 필라델피아 반도체지수 강세 영향 등에 상승(주도주 : 엠케이전자, 오픈엣지테크놀로지, 레이저쎌, 아이엠티, 피에스케이홀딩스)
2024-08-21	엔비디아 7거래일만에 하락 속 필라델피아 반도체지수(-1.33%) 약세 등에 하락
2024-08-23	美 필라델피아 반도체 지수 급락 영향 등에 하락
2024-08-27	필라델피아 반도체지수 급락 및 엔비디아 실적 경계감 등에 하락
2024-08-28	엔비디아 실적 발표 관망 속 AI 시장 성장에 따른 메모리 탑재 용량 증가 및 3D 패키징 시장 성장 기대감 등에 상승(주도주 : 피에스케이홀딩스, 한미반도체, 에스티아이, 미래반도체, 테크윙)
2024-08-29	엔비디아, 실적 호조에도 시간외거래서 급락 등에 하락
2024-08-30	엔비디아發 우려 과도 분석 등에 상승(주도주 : 워트, 피에스케이홀딩스, 케이씨텍, 에스티아이, 큐알티)
2024-09-02	반도체 업황 피크아웃 우려 부각 등에 하락
2024-09-04	美 경기 침체 공포 재부각에 따른 엔비디아(-9.53%) 등 대형 기술주 급락 영향 등에 하락
2024-09-06	브로드컴 매출 가이던스 실망 및 美 경기 침체 우려 지속 등에 하락
2024-09-11	TSMC, 투자 확대 수혜 기대감 및 9월 초순 반도체 수출 호조 등에 상승(주도주 : 와이씨켐, 제너셈, 테크윙, 디아이티)
2024-09-12	엔비디아 AI 칩 사우디 수출 기대감 및 블랙웰 수요 기대감에 따른 엔비디아(+8.15%) 주가 급등 영향 등에 상승(주도주 : 미래반도체, 와이씨, 디아이, 예스티, 오로스테크놀로지)
2024-09-13	BNP파리바, 마이크론 테크놀로지 매도 권고 소식 및 삼성전자·SK하이닉스 3분기 실적 부진 전망 등에 하락
2024-09-19	모건스탠리, 반도체 비관론 보고서 등에 하락
2024-09-20	필라델피아 반도체지수 급등 및 낙폭과대 인식 등에 일부 관련주 상승(주도주 : 한미반도체)
2024-09-23	삼성·TSMC, UAE 반도체공장 설립 추진 소식 및 HBM 공급 부족 지속 전망 등에 상승(주도주 : 디아이티, 피에스케이홀딩스, 테크윙, 오로스테크놀로지)
2024-09-25	엔비디아 강세 속 필라델피아 반도체지수 상승 영향 등에 일부 관련주 상승(주도주 : 워트, 큐알티, SK하이닉스)
2024-09-26	마이크론 어닝서프라이즈 및 SK하이닉스 세계 최초 'HBM3E 12단' 양산 소식 등에 상승(주도주 : 미래반도체, 피에스케이홀딩스, 아이엠티, 에스티아이)
2024-09-30	美 필라델피아 반도체 지수 약세, 中 엔비디아 칩 사용 제한 권고 소식 등에 하락
2024-10-02	美 필라델피아 반도체 지수 급락 및 맥쿼리, 삼성전자 목표주가 대폭 하향 조정 등에 하락
2024-10-04	엔비디아(+3.37%) 젠슨 황 CEO, 블랙웰 수요 우려 일축 등에 상승(주도주 : 디아이, 디아이티)
2024-10-07	美 필라델피아 반도체 지수 강세 영향 등에 상승(주도주 : 윈팩, 이오테크닉스, 예스티, 와이씨, 미래반도체)
2024-10-08	삼성전자, 3분기 잠정실적 쇼크 및 HBM3E 사업화 지연 소식 등에 하락
2024-10-11	10월1~10일 반도체 수출 호조 등에 일부 관련주 상승(주도주 : 디아이, 이오테크닉스, 아이엠티, 큐알티, 와이씨켐)
2024-10-14	엔비디아 블랙웰 1년치 공급 매진 및 삼성전자 저평가 분석 등에 상승(주도주 : 피에스케이홀딩스, 와이씨켐, 테크윙, 디아이)
2024-10-15	엔비디아 종가 기준 사상 최고치 경신, 美 필라델피아 반도체 지수 강세 속 일부 관련주 상승(주도주 : 디아이, 아이엠티, 미래반도체, 예스티)
2024-10-16	ASML 실적 쇼크 유출 속 美 필라델피아 반도체 지수 급락 등에 하락
2024-10-17	美 필라델피아 반도체지수 반등, 한미반도체·TSMC 호실적 발표 등에 일부 관련주 상승(주도주 : 한미반도체, 미래반도체, 오픈엣지테크놀로지, SK하이닉스)
2024-10-22	트럼프 리스크에 따른 美 국채금리 상승 영향 등에 하락
2024-10-23	당정, 반도체 특별법안 잠정 합의 소식 등에 상승(주도주 : 이오테크닉스, 테크윙, 제너셈, 엠케이전자, 피에스케이홀딩스)
2024-10-24	美 필라델피아 반도체 지수 약세 등에 하락
2024-10-25	SK하이닉스, 테슬라에 최대 1조원 규모 eSSD 공급 추진 소식 속 일부 관련주 상승(주도주 : 디아이, 와이씨켐, 예스티, 디아이티, 아이엠티)
2024-10-28	美 필라델피아 반도체 지수 강세 및 삼성전자, 엔비디아 HBM 협력사로 조건부 승인 소식 등에 상승(주도주 : 제우스, 아이엠티, 와이씨, 오로스테크놀로지)
2024-10-31	삼성전자, HBM3E 퀄테스트 중요 단계 완료 소식 속 엔비디아 공급 기대감 부각 등에 상승(주도주 : 레이저쎌, 테크윙, 제우스, 케이씨텍)
2024-11-01	마이크로소프트(MS)·메타發 실적 실망감 속 美 기술주 하락 여파 등에 하락
2024-11-04	SK하이닉스, 세계 최초 HBM3E 16단 제품 공식화 및 젠슨 황, "SK하이닉스 HBM4 공급 일정 6개월 앞당기자" 발언 등에 상승(주도주 : 큐알티, SK하이닉스, 이오테크닉스, 오픈엣지테크놀로지, 와이씨켐)
2024-11-07	트럼프 대통령 당선 속 피해 우려 부각 등에 하락
2024-11-08	엔비디아 주가 사상 최고치 재경신, 美 필라델피아 반도체 지수 급등 등에 일부 관련주 상승(주도주 : 제너셈, 윈팩, 한미반도체, 케이씨텍, SK하이닉스)
2024-11-11	美 칩스법 폐기 우려 지속 및 中 반도체 성장 우려 등에 하락
2024-11-12	美 칩스법 폐지 우려 지속, 필라델피아 반도체 지수 급락 등에 하락
2024-11-13	美 칩스법 폐지 우려 지속 및 K칩스법 실망감 지속 등에 하락
2024-11-14	美 필라델피아 반도체 지수 급락, 칩스법 폐기 우려 지속 등에 하락
2024-11-15	삼성전자 저가 매수세 유입 등에 상승(주도주 : 테크윙, 케이씨텍, 와이씨, 삼성전자)
2024-11-18	엔비디아 블랙웰 결함 발생 소식, 美 필라델피아 반도체 지수 급락 영향 속 하락
2024-11-21	엔비디아 3분기 호실적, 11월 반도체 수출 호조 및 테슬라, 삼성전자·SK하이닉스에 HBM4 공급 요청 부각 등에 일부 관련주 상승(주도주 : 테크윙, 와이씨, 오로스테크놀로지)
2024-11-22	엔비디아 호실적, 美 필라델피아 반도체 지수 강세 및 바이든 정부, 반도체 보조금 지급 속도 소식 등에 상승(주도주 : SK하이닉스, 오로스테크놀로지, 와이씨켐, 한미반도체, 테크윙)
2024-11-25	젠슨 황 엔비디아 CEO, 삼성전자 HBM3E 8단·12단 납품 검토 소식에 상승(주도주 : 윈팩, 제우스, 이오테크닉스, 와이씨켐)
2024-11-27	美 반도체법 보조금 재검토 우려 등에 하락
2024-11-28	美 기술주 하락 영향 및 美 반도체법 보조금 재검토 우려 지속 등에 하락
2024-11-29	美 반도체법 보조금 재검토 우려 및 대중 반도체 규제 우려, 11월 D램·낸드 가격 급락 등에 하락
2024-12-02	D램·낸드값 폭락 및 美 반도체 정책 불확실성 지속 등에 하락
2024-12-03	필라델피아 반도체지수 급등, 美 상무부 대중국 HBM 수출 통제 발표 속 상승(주도주 : 디아이티, 이오테크닉스, 제우스, 예스티, SK하이닉스)
2024-12-04	美 마이크로칩, 반도체 보조금 수령 중단 소식 등에 하락
